0000000000000000000011111;000010
0000100000000000000011111;000010
0001000000000000000011111;000010
0010000000000000000011111;000010
0100000000000000000011111;000010
0100000000000000000011111;100010
0000001000000000000000000;100010
000000000001000000000000|-1;100010
000000000001000000000000|-1;000010
0000000000010000000000000;000010
0000000000000001000100000;000010
0000000000000000001100000;000010
0000000000000110000000000;000010
0000000000000110000000|-100;000010
0000000011000000000000|-100;000010
0000000011000000|-1|-10000000;000010
000000001100000000000|-1000;000010
000000011100000000000|-1000;000010
000000000000111000000|-1000;000010
0000000000001110000000000;000010
0000000000011110000000000;000010
00000000000111100000|-10000;000010
00000011110000000000|-10000;000010
0000001111000000000000000;000010
1111100000000000000011111;000010
1111000000000000000011111;000010
1110000000000000000011111;000010
1100000000000000000011111;000010
1100000000000000000011111;100010
0000011000000000000000000;100010
0000010000000000000100001;100010
0000000000100000000000001;100010
0000000000000001000000000;100010
0000000000000000000000000;100010
0000000000000000000000000;000010
0000000000000000000001100;000010
0000000000000000000011000;000010
0000000000000000000010000;000010
0000000000000001000010000;000010
0000000000100001000011111;000010
0000000001000010000111111;000010
0000000001000010000111111;100010
0000000000000010000100001;100010
0000000000000000000100001;100010
0000000000000000001100011;100010
0000000000000000000000011;100010
0000000000000001100011000;000010
0000000000100001000010000;000010
0000010000100001000011111;000010
0000000000000000000|-111111;000010
000010000100001000|-1111111;100010
000000000100001000|-1100001;100010
000000000100001000|-11000|-11;100010
00000000010000100001000|-11;100010
00000000000000100001000|-11;100010
0000000000000000000000110;000010
000000000010000100001|-1|-100;000010
000000000000000000000|-1|-100;000010
00000000000000000000|-1|-1|-100;000010
00000000000000000000|-10|-100;000010
00000000000000000000|-1|-1000;000010
00000000000000000000|-10000;000010
000000000000000|-10000|-10000;000010
000000000000000|-1000000000;000010
000000000000000|-1000011111;000010
0000000000000000000011111;100010
0000000001000010000100001;100010
0000000000000000000011110;000010
0000000000000000000011100;000010
0000000000000000000011100;100010
0000000000000000000001111;000010
0001100000000000000011111;000010
0001100000000000000011111;100010
0000000011000000000000000;100010
000|-1000011000000000000000;100010
000|-1000000000110000000000;100010
000|-1000000001110000000000;100010
00000000|-10001110000000000;100010
0000000|-100001110000000000;100010
0000000|-100000000001100000;100010
00|-10000000000000001100000;100010
00|-10000000000110000000000;100010
00|-10000000001100000000000;100010
0000000000001100000000000;100010
0000000110000000000000000;100010
0111000000000000000011111;100010
1110000000000000000011111;100010
1|-100000000000000000011111;000010
110000|-1000000000000011111;000010
100000|-1000000000000011111;000010
10000000000|-10000000011111;000010
1000000000000000|-100011111;000010
000000000000000000001|-1111;000010
1110000000000000000000000;100010
0000011100000000000000000;100010
0000010001000000000000000;100010
1000100000000000000000000;100010
1000100000000000000000000;000010
