000000000000000000000000000000000000000000000000000000111110001111110001000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
111111000000000000000000000000000000000000000000000000000000000000000000111100011 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000000000000000000000001000000000000000000000000000001111111 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000100011000000000000000000000000-100111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000110000000000000000000001100000001100111111111 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000000000000000000000000000000000000000000111111111111111111 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
00000000000000000010001111100000000000000000000-1000000111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000010110000000110000000110000000110000000111111111111111111 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000000000000000000000000000000000000000000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000000000000000000011000000011000000011000000011 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000000000000000000001100000001100000001100000001100111111111 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000100000000000000000000000000000000000000000111111110111111110000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000100000000000000000000000000000000000000000000111110011111110011000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
00000000000000000000000000000000000011000000011000000011000000011-10-10000111111111 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000001110000001110000001110000-101111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000010110000000110000000110000000110000000111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000100000000000000000000011000000011000111111111 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000000000000000000000000001100000001100000001100 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000100000000000000000000000000000000000000000111111110111111110 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000000100000000000000000000000000000000000111111100111111100 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000000000000000000000000000000000000000000000001100000001100 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000000000000000000000000000000000111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000110000000000000000000001100000001100111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000001100000001100000001100000001100111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000000000000000000000100111111100111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000001100000001100000001100000001100111111111111111111 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000-100000000000000001110000000000000000000000000000000111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000000000000011000000011000000111111111111111111 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000100100000000100000000100000000100000000111111111 | count: 2 | 1|0|0|0|1|0 | 0|0|0|0|1|0
000000000000000000000000000000001100000001100000001100111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000100000000000000000000000000000111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000000001100000001100000001100111111111111111111 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000001000000001000000001111111111111111111000000000 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
000000000000000000000000000000000000000000000000000000000000110000000110000000110 | count: 2 | 0|0|0|0|1|0 | 1|0|0|0|1|0
